reference_month,release_date,specification,prior_adjustment,outliers,unrounded_nsa_inputs,files_complete,specification_evidence,prior_adjustment_evidence,outliers_evidence
2023-03,2023-04-07,not_archived,not_archived,not_archived,not_published,false,,,
2023-04,2023-05-05,not_archived,not_archived,not_archived,not_published,false,,,
2023-05,2023-06-02,not_archived,not_archived,not_archived,not_published,false,,,
2023-06,2023-07-07,not_archived,not_archived,not_archived,not_published,false,,,
2023-07,2023-08-04,not_archived,not_archived,not_archived,not_published,false,,,
2023-08,2023-09-01,not_archived,not_archived,not_archived,not_published,false,,,
2023-09,2023-10-06,not_archived,not_archived,not_archived,not_published,false,,,
2023-10,2023-11-03,not_archived,not_archived,not_archived,not_published,false,,,
2023-11,2023-12-08,not_archived,not_archived,not_archived,not_published,false,,,
2023-12,2024-01-05,not_archived,not_archived,not_archived,not_published,false,,,
2024-01,2024-02-02,internet_archive,not_archived,not_archived,not_published,false,https://web.archive.org/web/20240927002315id_/https://www.bls.gov/web/empsit/ces.spec.ae.zip,,
2024-02,2024-03-08,internet_archive,not_archived,not_archived,not_published,false,https://web.archive.org/web/20240927002315id_/https://www.bls.gov/web/empsit/ces.spec.ae.zip,,
2024-03,2024-04-05,internet_archive,not_archived,not_archived,not_published,false,https://web.archive.org/web/20240927002315id_/https://www.bls.gov/web/empsit/ces.spec.ae.zip,,
2024-04,2024-05-03,internet_archive,not_archived,not_archived,not_published,false,https://web.archive.org/web/20240927002315id_/https://www.bls.gov/web/empsit/ces.spec.ae.zip,,
2024-05,2024-06-07,internet_archive,not_archived,not_archived,not_published,false,https://web.archive.org/web/20240927002315id_/https://www.bls.gov/web/empsit/ces.spec.ae.zip,,
2024-06,2024-07-05,internet_archive,not_archived,not_archived,not_published,false,https://web.archive.org/web/20240927002315id_/https://www.bls.gov/web/empsit/ces.spec.ae.zip,,
2024-07,2024-08-02,internet_archive,not_archived,not_archived,not_published,false,https://web.archive.org/web/20240927002315id_/https://www.bls.gov/web/empsit/ces.spec.ae.zip,,
2024-08,2024-09-06,internet_archive,internet_archive,internet_archive,not_published,true,https://web.archive.org/web/20240927002315id_/https://www.bls.gov/web/empsit/ces.spec.ae.zip,https://web.archive.org/web/20240926232604id_/https://www.bls.gov/web/empsit/ces.spec.other.zip,https://web.archive.org/web/20240926232604id_/https://www.bls.gov/web/empsit/ces.spec.other.zip
2024-09,2024-10-04,internet_archive,not_archived,not_archived,not_published,false,https://web.archive.org/web/20240927002315id_/https://www.bls.gov/web/empsit/ces.spec.ae.zip,,
2024-10,2024-11-01,internet_archive,not_archived,not_archived,not_published,false,https://web.archive.org/web/20240927002315id_/https://www.bls.gov/web/empsit/ces.spec.ae.zip,,
2024-11,2024-12-06,internet_archive,internet_archive,internet_archive,not_published,true,https://web.archive.org/web/20240927002315id_/https://www.bls.gov/web/empsit/ces.spec.ae.zip,https://web.archive.org/web/20241211002914id_/https://www.bls.gov/web/empsit/ces.spec.other.zip,https://web.archive.org/web/20241211002914id_/https://www.bls.gov/web/empsit/ces.spec.other.zip
2024-12,2025-01-10,internet_archive,internet_archive,internet_archive,not_published,true,https://web.archive.org/web/20240927002315id_/https://www.bls.gov/web/empsit/ces.spec.ae.zip,https://web.archive.org/web/20250202014501id_/https://www.bls.gov/web/empsit/ces.spec.other.zip,https://web.archive.org/web/20250202014501id_/https://www.bls.gov/web/empsit/ces.spec.other.zip
2025-01,2025-02-07,internet_archive,internet_archive,internet_archive,not_published,true,https://web.archive.org/web/20250208075248id_/https://www.bls.gov/web/empsit/ces.spec.ae.zip,https://web.archive.org/web/20250208074215id_/https://www.bls.gov/web/empsit/ces.spec.other.zip,https://web.archive.org/web/20250208074215id_/https://www.bls.gov/web/empsit/ces.spec.other.zip
2025-02,2025-03-07,internet_archive,internet_archive,internet_archive,not_published,true,https://web.archive.org/web/20250208075248id_/https://www.bls.gov/web/empsit/ces.spec.ae.zip,https://web.archive.org/web/20250327025357id_/https://www.bls.gov/web/empsit/ces.spec.other.zip,https://web.archive.org/web/20250327025357id_/https://www.bls.gov/web/empsit/ces.spec.other.zip
2025-03,2025-04-04,internet_archive,internet_archive,internet_archive,not_published,true,https://web.archive.org/web/20250208075248id_/https://www.bls.gov/web/empsit/ces.spec.ae.zip,https://web.archive.org/web/20250404181957id_/https://www.bls.gov/web/empsit/ces.spec.other.zip,https://web.archive.org/web/20250404181957id_/https://www.bls.gov/web/empsit/ces.spec.other.zip
2025-04,2025-05-02,internet_archive,not_archived,not_archived,not_published,false,https://web.archive.org/web/20250208075248id_/https://www.bls.gov/web/empsit/ces.spec.ae.zip,,
2025-05,2025-06-06,internet_archive,not_archived,not_archived,not_published,false,https://web.archive.org/web/20250208075248id_/https://www.bls.gov/web/empsit/ces.spec.ae.zip,,
2025-06,2025-07-03,internet_archive,not_archived,not_archived,not_published,false,https://web.archive.org/web/20250208075248id_/https://www.bls.gov/web/empsit/ces.spec.ae.zip,,
2025-07,2025-08-01,internet_archive,internet_archive,internet_archive,not_published,true,https://web.archive.org/web/20250208075248id_/https://www.bls.gov/web/empsit/ces.spec.ae.zip,https://web.archive.org/web/20250802202747id_/https://www.bls.gov/web/empsit/ces.spec.other.zip,https://web.archive.org/web/20250802202747id_/https://www.bls.gov/web/empsit/ces.spec.other.zip
2025-08,2025-09-05,internet_archive,internet_archive,internet_archive,not_published,true,https://web.archive.org/web/20250208075248id_/https://www.bls.gov/web/empsit/ces.spec.ae.zip,https://web.archive.org/web/20250911000514id_/https://www.bls.gov/web/empsit/ces.spec.other.zip,https://web.archive.org/web/20250911000514id_/https://www.bls.gov/web/empsit/ces.spec.other.zip
2025-09,2025-11-20,internet_archive,internet_archive,internet_archive,not_published,true,https://web.archive.org/web/20250208075248id_/https://www.bls.gov/web/empsit/ces.spec.ae.zip,https://web.archive.org/web/20251122085546id_/https://www.bls.gov/web/empsit/ces.spec.other.zip,https://web.archive.org/web/20251122085546id_/https://www.bls.gov/web/empsit/ces.spec.other.zip
2025-10,,no_release,no_release,no_release,no_release,false,,,
2025-11,2025-12-16,internet_archive,internet_archive,internet_archive,not_published,true,https://web.archive.org/web/20250208075248id_/https://www.bls.gov/web/empsit/ces.spec.ae.zip,https://web.archive.org/web/20251220081843id_/https://www.bls.gov/web/empsit/ces.spec.other.zip,https://web.archive.org/web/20251220081843id_/https://www.bls.gov/web/empsit/ces.spec.other.zip
2025-12,2026-01-09,internet_archive,not_archived,not_archived,not_published,false,https://web.archive.org/web/20250208075248id_/https://www.bls.gov/web/empsit/ces.spec.ae.zip,,
2026-01,2026-02-11,bls_current,internet_archive,internet_archive,not_published,true,https://www.bls.gov/web/empsit/ces.spec.ae.zip,https://web.archive.org/web/20260214200550id_/https://www.bls.gov/web/empsit/ces.spec.other.zip,https://web.archive.org/web/20260214200550id_/https://www.bls.gov/web/empsit/ces.spec.other.zip
2026-02,2026-03-06,bls_current,not_archived,not_archived,not_published,false,https://www.bls.gov/web/empsit/ces.spec.ae.zip,,
2026-03,2026-04-03,bls_current,internet_archive,internet_archive,not_published,true,https://www.bls.gov/web/empsit/ces.spec.ae.zip,https://web.archive.org/web/20260502095306id_/https://www.bls.gov/web/empsit/ces.spec.other.zip,https://web.archive.org/web/20260502095306id_/https://www.bls.gov/web/empsit/ces.spec.other.zip
2026-04,2026-05-08,bls_current,internet_archive,internet_archive,not_published,true,https://www.bls.gov/web/empsit/ces.spec.ae.zip,https://web.archive.org/web/20260516123319id_/https://www.bls.gov/web/empsit/ces.spec.other.zip,https://web.archive.org/web/20260516123319id_/https://www.bls.gov/web/empsit/ces.spec.other.zip
2026-05,2026-06-05,bls_current,internet_archive,internet_archive,not_published,true,https://www.bls.gov/web/empsit/ces.spec.ae.zip,https://web.archive.org/web/20260613101136id_/https://www.bls.gov/web/empsit/ces.spec.other.zip,https://web.archive.org/web/20260613101136id_/https://www.bls.gov/web/empsit/ces.spec.other.zip
2026-06,2026-07-02,bls_current,not_archived,not_archived,not_published,false,https://www.bls.gov/web/empsit/ces.spec.ae.zip,,
2026-07,2026-08-07,bls_current,internet_archive,internet_archive,not_published,true,https://www.bls.gov/web/empsit/ces.spec.ae.zip,https://web.archive.org/web/20260819192341id_/https://www.bls.gov/web/empsit/ces.spec.other.zip,https://web.archive.org/web/20260819192341id_/https://www.bls.gov/web/empsit/ces.spec.other.zip
2026-08,2026-09-04,bls_current,bls_current,bls_current,not_published,true,https://www.bls.gov/web/empsit/ces.spec.ae.zip,https://www.bls.gov/web/empsit/ces.spec.other.zip,https://www.bls.gov/web/empsit/ces.spec.other.zip
