reference_month,release_date,specification,prior_adjustment,outliers,unrounded_nsa_inputs,files_complete,specification_evidence,prior_adjustment_evidence,outliers_evidence
2020-06,2020-07-02,internet_archive,not_archived,not_archived,not_published,false,https://web.archive.org/web/20201018125113id_/https://www.bls.gov/web/empsit/ces.spec.ae.zip,,
2020-07,2020-08-07,internet_archive,not_archived,not_archived,not_published,false,https://web.archive.org/web/20201018125113id_/https://www.bls.gov/web/empsit/ces.spec.ae.zip,,
2020-08,2020-09-04,internet_archive,not_archived,not_archived,not_published,false,https://web.archive.org/web/20201018125113id_/https://www.bls.gov/web/empsit/ces.spec.ae.zip,,
2020-09,2020-10-02,internet_archive,internet_archive,internet_archive,not_published,true,https://web.archive.org/web/20201018125113id_/https://www.bls.gov/web/empsit/ces.spec.ae.zip,https://web.archive.org/web/20201018123503id_/https://www.bls.gov/web/empsit/ces.spec.other.zip,https://web.archive.org/web/20201018123503id_/https://www.bls.gov/web/empsit/ces.spec.other.zip
2020-10,2020-11-06,internet_archive,not_archived,not_archived,not_published,false,https://web.archive.org/web/20201018125113id_/https://www.bls.gov/web/empsit/ces.spec.ae.zip,,
2020-11,2020-12-04,internet_archive,not_archived,not_archived,not_published,false,https://web.archive.org/web/20201018125113id_/https://www.bls.gov/web/empsit/ces.spec.ae.zip,,
2020-12,2021-01-08,internet_archive,not_archived,not_archived,not_published,false,https://web.archive.org/web/20201018125113id_/https://www.bls.gov/web/empsit/ces.spec.ae.zip,,
2021-01,2021-02-05,internet_archive,not_archived,not_archived,not_published,false,https://web.archive.org/web/20210318044659id_/https://www.bls.gov/web/empsit/ces.spec.ae.zip,,
2021-02,2021-03-05,internet_archive,internet_archive,internet_archive,not_published,true,https://web.archive.org/web/20210318044659id_/https://www.bls.gov/web/empsit/ces.spec.ae.zip,https://web.archive.org/web/20210318011343id_/https://www.bls.gov/web/empsit/ces.spec.other.zip,https://web.archive.org/web/20210318011343id_/https://www.bls.gov/web/empsit/ces.spec.other.zip
2021-03,2021-04-02,internet_archive,not_archived,not_archived,not_published,false,https://web.archive.org/web/20210318044659id_/https://www.bls.gov/web/empsit/ces.spec.ae.zip,,
2021-04,2021-05-07,internet_archive,not_archived,not_archived,not_published,false,https://web.archive.org/web/20210318044659id_/https://www.bls.gov/web/empsit/ces.spec.ae.zip,,
2021-05,2021-06-04,internet_archive,not_archived,not_archived,not_published,false,https://web.archive.org/web/20210318044659id_/https://www.bls.gov/web/empsit/ces.spec.ae.zip,,
2021-06,2021-07-02,internet_archive,not_archived,not_archived,not_published,false,https://web.archive.org/web/20210318044659id_/https://www.bls.gov/web/empsit/ces.spec.ae.zip,,
2021-07,2021-08-06,internet_archive,not_archived,not_archived,not_published,false,https://web.archive.org/web/20210318044659id_/https://www.bls.gov/web/empsit/ces.spec.ae.zip,,
2021-08,2021-09-03,internet_archive,internet_archive,internet_archive,not_published,true,https://web.archive.org/web/20210318044659id_/https://www.bls.gov/web/empsit/ces.spec.ae.zip,https://web.archive.org/web/20210917004822id_/https://www.bls.gov/web/empsit/ces.spec.other.zip,https://web.archive.org/web/20210917004822id_/https://www.bls.gov/web/empsit/ces.spec.other.zip
2021-09,2021-10-08,internet_archive,not_archived,not_archived,not_published,false,https://web.archive.org/web/20210318044659id_/https://www.bls.gov/web/empsit/ces.spec.ae.zip,,
2021-10,2021-11-05,internet_archive,internet_archive,internet_archive,not_published,true,https://web.archive.org/web/20210318044659id_/https://www.bls.gov/web/empsit/ces.spec.ae.zip,https://web.archive.org/web/20211105131924id_/https://www.bls.gov/web/empsit/ces.spec.other.zip,https://web.archive.org/web/20211105131924id_/https://www.bls.gov/web/empsit/ces.spec.other.zip
2021-11,2021-12-03,internet_archive,not_archived,not_archived,not_published,false,https://web.archive.org/web/20210318044659id_/https://www.bls.gov/web/empsit/ces.spec.ae.zip,,
