reference_month,release_date,release_url
2009-10,2009-11-06,https://www.bls.gov/news.release/archives/empsit_11062009.htm
2009-11,2009-12-04,https://www.bls.gov/news.release/archives/empsit_12042009.htm
2009-12,2010-01-08,https://www.bls.gov/news.release/archives/empsit_01082010.htm
2010-01,2010-02-05,https://www.bls.gov/news.release/archives/empsit_02052010.htm
2010-02,2010-03-05,https://www.bls.gov/news.release/archives/empsit_03052010.htm
2010-03,2010-04-02,https://www.bls.gov/news.release/archives/empsit_04022010.htm
2010-04,2010-05-07,https://www.bls.gov/news.release/archives/empsit_05072010.htm
2010-05,2010-06-04,https://www.bls.gov/news.release/archives/empsit_06042010.htm
2010-06,2010-07-02,https://www.bls.gov/news.release/archives/empsit_07022010.htm
2010-07,2010-08-06,https://www.bls.gov/news.release/archives/empsit_08062010.htm
2010-08,2010-09-03,https://www.bls.gov/news.release/archives/empsit_09032010.htm
2010-09,2010-10-08,https://www.bls.gov/news.release/archives/empsit_10082010.htm
2010-10,2010-11-05,https://www.bls.gov/news.release/archives/empsit_11052010.htm
2010-11,2010-12-03,https://www.bls.gov/news.release/archives/empsit_12032010.htm
2010-12,2011-01-07,https://www.bls.gov/news.release/archives/empsit_01072011.htm
2011-01,2011-02-04,https://www.bls.gov/news.release/archives/empsit_02042011.htm
2011-02,2011-03-04,https://www.bls.gov/news.release/archives/empsit_03042011.htm
2011-03,2011-04-01,https://www.bls.gov/news.release/archives/empsit_04012011.htm
2011-04,2011-05-06,https://www.bls.gov/news.release/archives/empsit_05062011.htm
2011-05,2011-06-03,https://www.bls.gov/news.release/archives/empsit_06032011.htm
2011-06,2011-07-08,https://www.bls.gov/news.release/archives/empsit_07082011.htm
2011-07,2011-08-05,https://www.bls.gov/news.release/archives/empsit_08052011.htm
2011-08,2011-09-02,https://www.bls.gov/news.release/archives/empsit_09022011.htm
2011-09,2011-10-07,https://www.bls.gov/news.release/archives/empsit_10072011.htm
2011-10,2011-11-04,https://www.bls.gov/news.release/archives/empsit_11042011.htm
2011-11,2011-12-02,https://www.bls.gov/news.release/archives/empsit_12022011.htm
2011-12,2012-01-06,https://www.bls.gov/news.release/archives/empsit_01062012.htm
2012-01,2012-02-03,https://www.bls.gov/news.release/archives/empsit_02032012.htm
2012-02,2012-03-09,https://www.bls.gov/news.release/archives/empsit_03092012.htm
2012-03,2012-04-06,https://www.bls.gov/news.release/archives/empsit_04062012.htm
2012-04,2012-05-04,https://www.bls.gov/news.release/archives/empsit_05042012.htm
2012-05,2012-06-01,https://www.bls.gov/news.release/archives/empsit_06012012.htm
2012-06,2012-07-06,https://www.bls.gov/news.release/archives/empsit_07062012.htm
2012-07,2012-08-03,https://www.bls.gov/news.release/archives/empsit_08032012.htm
2012-08,2012-09-07,https://www.bls.gov/news.release/archives/empsit_09072012.htm
2012-09,2012-10-05,https://www.bls.gov/news.release/archives/empsit_10052012.htm
2012-10,2012-11-02,https://www.bls.gov/news.release/archives/empsit_11022012.htm
2012-11,2012-12-07,https://www.bls.gov/news.release/archives/empsit_12072012.htm
2012-12,2013-01-04,https://www.bls.gov/news.release/archives/empsit_01042013.htm
2013-01,2013-02-01,https://www.bls.gov/news.release/archives/empsit_02012013.htm
2013-02,2013-03-08,https://www.bls.gov/news.release/archives/empsit_03082013.htm
2013-03,2013-04-05,https://www.bls.gov/news.release/archives/empsit_04052013.htm
2013-04,2013-05-03,https://www.bls.gov/news.release/archives/empsit_05032013.htm
2013-05,2013-06-07,https://www.bls.gov/news.release/archives/empsit_06072013.htm
2013-06,2013-07-05,https://www.bls.gov/news.release/archives/empsit_07052013.htm
2013-07,2013-08-02,https://www.bls.gov/news.release/archives/empsit_08022013.htm
2013-08,2013-09-06,https://www.bls.gov/news.release/archives/empsit_09062013.htm
2013-09,2013-10-22,https://www.bls.gov/news.release/archives/empsit_10222013.htm
2013-10,2013-11-08,https://www.bls.gov/news.release/archives/empsit_11082013.htm
2013-11,2013-12-06,https://www.bls.gov/news.release/archives/empsit_12062013.htm
2013-12,2014-01-10,https://www.bls.gov/news.release/archives/empsit_01102014.htm
2014-01,2014-02-07,https://www.bls.gov/news.release/archives/empsit_02072014.htm
2014-02,2014-03-07,https://www.bls.gov/news.release/archives/empsit_03072014.htm
2014-03,2014-04-04,https://www.bls.gov/news.release/archives/empsit_04042014.htm
2014-04,2014-05-02,https://www.bls.gov/news.release/archives/empsit_05022014.htm
2014-05,2014-06-06,https://www.bls.gov/news.release/archives/empsit_06062014.htm
2014-06,2014-07-03,https://www.bls.gov/news.release/archives/empsit_07032014.htm
2014-07,2014-08-01,https://www.bls.gov/news.release/archives/empsit_08012014.htm
2014-08,2014-09-05,https://www.bls.gov/news.release/archives/empsit_09052014.htm
2014-09,2014-10-03,https://www.bls.gov/news.release/archives/empsit_10032014.htm
2014-10,2014-11-07,https://www.bls.gov/news.release/archives/empsit_11072014.htm
2014-11,2014-12-05,https://www.bls.gov/news.release/archives/empsit_12052014.htm
2014-12,2015-01-09,https://www.bls.gov/news.release/archives/empsit_01092015.htm
2015-01,2015-02-06,https://www.bls.gov/news.release/archives/empsit_02062015.htm
2015-02,2015-03-06,https://www.bls.gov/news.release/archives/empsit_03062015.htm
2015-03,2015-04-03,https://www.bls.gov/news.release/archives/empsit_04032015.htm
2015-04,2015-05-08,https://www.bls.gov/news.release/archives/empsit_05082015.htm
2015-05,2015-06-05,https://www.bls.gov/news.release/archives/empsit_06052015.htm
2015-06,2015-07-02,https://www.bls.gov/news.release/archives/empsit_07022015.htm
2015-07,2015-08-07,https://www.bls.gov/news.release/archives/empsit_08072015.htm
2015-08,2015-09-04,https://www.bls.gov/news.release/archives/empsit_09042015.htm
2015-09,2015-10-02,https://www.bls.gov/news.release/archives/empsit_10022015.htm
2015-10,2015-11-06,https://www.bls.gov/news.release/archives/empsit_11062015.htm
2015-11,2015-12-04,https://www.bls.gov/news.release/archives/empsit_12042015.htm
2015-12,2016-01-08,https://www.bls.gov/news.release/archives/empsit_01082016.htm
2016-01,2016-02-05,https://www.bls.gov/news.release/archives/empsit_02052016.htm
2016-02,2016-03-04,https://www.bls.gov/news.release/archives/empsit_03042016.htm
2016-03,2016-04-01,https://www.bls.gov/news.release/archives/empsit_04012016.htm
2016-04,2016-05-06,https://www.bls.gov/news.release/archives/empsit_05062016.htm
2016-05,2016-06-03,https://www.bls.gov/news.release/archives/empsit_06032016.htm
2016-06,2016-07-08,https://www.bls.gov/news.release/archives/empsit_07082016.htm
2016-07,2016-08-05,https://www.bls.gov/news.release/archives/empsit_08052016.htm
2016-08,2016-09-02,https://www.bls.gov/news.release/archives/empsit_09022016.htm
2016-09,2016-10-07,https://www.bls.gov/news.release/archives/empsit_10072016.htm
2016-10,2016-11-04,https://www.bls.gov/news.release/archives/empsit_11042016.htm
2016-11,2016-12-02,https://www.bls.gov/news.release/archives/empsit_12022016.htm
2016-12,2017-01-06,https://www.bls.gov/news.release/archives/empsit_01062017.htm
2017-01,2017-02-03,https://www.bls.gov/news.release/archives/empsit_02032017.htm
2017-02,2017-03-10,https://www.bls.gov/news.release/archives/empsit_03102017.htm
2017-03,2017-04-07,https://www.bls.gov/news.release/archives/empsit_04072017.htm
2017-04,2017-05-05,https://www.bls.gov/news.release/archives/empsit_05052017.htm
2017-05,2017-06-02,https://www.bls.gov/news.release/archives/empsit_06022017.htm
2017-06,2017-07-07,https://www.bls.gov/news.release/archives/empsit_07072017.htm
2017-07,2017-08-04,https://www.bls.gov/news.release/archives/empsit_08042017.htm
2017-08,2017-09-01,https://www.bls.gov/news.release/archives/empsit_09012017.htm
2017-09,2017-10-06,https://www.bls.gov/news.release/archives/empsit_10062017.htm
2017-10,2017-11-03,https://www.bls.gov/news.release/archives/empsit_11032017.htm
2017-11,2017-12-08,https://www.bls.gov/news.release/archives/empsit_12082017.htm
2017-12,2018-01-05,https://www.bls.gov/news.release/archives/empsit_01052018.htm
2018-01,2018-02-02,https://www.bls.gov/news.release/archives/empsit_02022018.htm
2018-02,2018-03-09,https://www.bls.gov/news.release/archives/empsit_03092018.htm
2018-03,2018-04-06,https://www.bls.gov/news.release/archives/empsit_04062018.htm
2018-04,2018-05-04,https://www.bls.gov/news.release/archives/empsit_05042018.htm
2018-05,2018-06-01,https://www.bls.gov/news.release/archives/empsit_06012018.htm
2018-06,2018-07-06,https://www.bls.gov/news.release/archives/empsit_07062018.htm
2018-07,2018-08-03,https://www.bls.gov/news.release/archives/empsit_08032018.htm
2018-08,2018-09-07,https://www.bls.gov/news.release/archives/empsit_09072018.htm
2018-09,2018-10-05,https://www.bls.gov/news.release/archives/empsit_10052018.htm
2018-10,2018-11-02,https://www.bls.gov/news.release/archives/empsit_11022018.htm
2018-11,2018-12-07,https://www.bls.gov/news.release/archives/empsit_12072018.htm
2018-12,2019-01-04,https://www.bls.gov/news.release/archives/empsit_01042019.htm
2019-01,2019-02-01,https://www.bls.gov/news.release/archives/empsit_02012019.htm
2019-02,2019-03-08,https://www.bls.gov/news.release/archives/empsit_03082019.htm
2019-03,2019-04-05,https://www.bls.gov/news.release/archives/empsit_04052019.htm
