benchmark_year,period_label,reference_month,frequency,realized_text,forecast_text,difference_text,source_file,source_locator
2011,May-10,2010-05-01,monthly,205,192,13,bls/benchmark/ces-benchmark-revision-2011.pdf,"Exhibit 6, PDF page 21"
2011,Jun-10,2010-06-01,monthly,138,131,7,bls/benchmark/ces-benchmark-revision-2011.pdf,"Exhibit 6, PDF page 21"
2011,Jul-10,2010-07-01,monthly,55,-38,93,bls/benchmark/ces-benchmark-revision-2011.pdf,"Exhibit 6, PDF page 21"
2011,Aug-10,2010-08-01,monthly,70,91,-21,bls/benchmark/ces-benchmark-revision-2011.pdf,"Exhibit 6, PDF page 21"
2011,Sep-10,2010-09-01,monthly,-49,-25,-24,bls/benchmark/ces-benchmark-revision-2011.pdf,"Exhibit 6, PDF page 21"
2011,Oct-10,2010-10-01,monthly,185,71,114,bls/benchmark/ces-benchmark-revision-2011.pdf,"Exhibit 6, PDF page 21"
2011,Nov-10,2010-11-01,monthly,-33,-32,-1,bls/benchmark/ces-benchmark-revision-2011.pdf,"Exhibit 6, PDF page 21"
2011,Dec-10,2010-12-01,monthly,-20,6,-26,bls/benchmark/ces-benchmark-revision-2011.pdf,"Exhibit 6, PDF page 21"
2011,Jan-11,2011-01-01,monthly,-356,-339,-17,bls/benchmark/ces-benchmark-revision-2011.pdf,"Exhibit 6, PDF page 21"
2011,Feb-11,2011-02-01,monthly,72,112,-40,bls/benchmark/ces-benchmark-revision-2011.pdf,"Exhibit 6, PDF page 21"
2011,Mar-11,2011-03-01,monthly,64,117,-53,bls/benchmark/ces-benchmark-revision-2011.pdf,"Exhibit 6, PDF page 21"
2011,Total,,annual,437,427,10,bls/benchmark/ces-benchmark-revision-2011.pdf,"Exhibit 6, PDF page 21"
2012,Apr-11,2011-04-01,monthly,272,172,100,bls/benchmark/ces-benchmark-revision-2012.pdf,"Table 7, PDF page 35"
2012,May-11,2011-05-01,monthly,204,211,-7,bls/benchmark/ces-benchmark-revision-2012.pdf,"Table 7, PDF page 35"
2012,Jun-11,2011-06-01,monthly,116,141,-25,bls/benchmark/ces-benchmark-revision-2012.pdf,"Table 7, PDF page 35"
2012,Jul-11,2011-07-01,monthly,157,5,152,bls/benchmark/ces-benchmark-revision-2012.pdf,"Table 7, PDF page 35"
2012,Aug-11,2011-08-01,monthly,93,89,4,bls/benchmark/ces-benchmark-revision-2012.pdf,"Table 7, PDF page 35"
2012,Sep-11,2011-09-01,monthly,27,-26,53,bls/benchmark/ces-benchmark-revision-2012.pdf,"Table 7, PDF page 35"
2012,Oct-11,2011-10-01,monthly,122,116,6,bls/benchmark/ces-benchmark-revision-2012.pdf,"Table 7, PDF page 35"
2012,Nov-11,2011-11-01,monthly,-23,-30,7,bls/benchmark/ces-benchmark-revision-2012.pdf,"Table 7, PDF page 35"
2012,Dec-11,2011-12-01,monthly,3,-1,4,bls/benchmark/ces-benchmark-revision-2012.pdf,"Table 7, PDF page 35"
2012,Jan-12,2012-01-01,monthly,-284,-367,83,bls/benchmark/ces-benchmark-revision-2012.pdf,"Table 7, PDF page 35"
2012,Feb-12,2012-02-01,monthly,115,91,24,bls/benchmark/ces-benchmark-revision-2012.pdf,"Table 7, PDF page 35"
2012,Mar-12,2012-03-01,monthly,115,90,25,bls/benchmark/ces-benchmark-revision-2012.pdf,"Table 7, PDF page 35"
2012,Total,,annual,917,491,426,bls/benchmark/ces-benchmark-revision-2012.pdf,"Table 7, PDF page 35"
2013,Apr-12,2012-04-01,monthly,273,206,67,bls/benchmark/ces-benchmark-revision-2013.pdf,"Table 7, PDF page 31"
2013,May-12,2012-05-01,monthly,210,205,5,bls/benchmark/ces-benchmark-revision-2013.pdf,"Table 7, PDF page 31"
2013,Jun-12,2012-06-01,monthly,162,122,40,bls/benchmark/ces-benchmark-revision-2013.pdf,"Table 7, PDF page 31"
2013,Jul-12,2012-07-01,monthly,88,66,22,bls/benchmark/ces-benchmark-revision-2013.pdf,"Table 7, PDF page 31"
2013,Aug-12,2012-08-01,monthly,103,89,14,bls/benchmark/ces-benchmark-revision-2013.pdf,"Table 7, PDF page 31"
2013,Sep-12,2012-09-01,monthly,-30,-14,-16,bls/benchmark/ces-benchmark-revision-2013.pdf,"Table 7, PDF page 31"
2013,Oct-12,2012-10-01,monthly,202,118,84,bls/benchmark/ces-benchmark-revision-2013.pdf,"Table 7, PDF page 31"
2013,Nov-12,2012-11-01,monthly,-3,-36,33,bls/benchmark/ces-benchmark-revision-2013.pdf,"Table 7, PDF page 31"
2013,Dec-12,2012-12-01,monthly,-2,-1,-1,bls/benchmark/ces-benchmark-revision-2013.pdf,"Table 7, PDF page 31"
2013,Jan-13,2013-01-01,monthly,-345,-314,-31,bls/benchmark/ces-benchmark-revision-2013.pdf,"Table 7, PDF page 31"
2013,Feb-13,2013-02-01,monthly,147,102,45,bls/benchmark/ces-benchmark-revision-2013.pdf,"Table 7, PDF page 31"
2013,Mar-13,2013-03-01,monthly,60,92,-32,bls/benchmark/ces-benchmark-revision-2013.pdf,"Table 7, PDF page 31"
2013,Total,,annual,865,635,230,bls/benchmark/ces-benchmark-revision-2013.pdf,"Table 7, PDF page 31"
2014,Apr-13,2013-04-01,monthly,277,236,41,bls/benchmark/ces-benchmark-revision-2014.pdf,"Table 7, PDF page 28"
2014,May-13,2013-05-01,monthly,201,210,-9,bls/benchmark/ces-benchmark-revision-2014.pdf,"Table 7, PDF page 28"
2014,Jun-13,2013-06-01,monthly,129,140,-11,bls/benchmark/ces-benchmark-revision-2014.pdf,"Table 7, PDF page 28"
2014,Jul-13,2013-07-01,monthly,143,86,57,bls/benchmark/ces-benchmark-revision-2014.pdf,"Table 7, PDF page 28"
2014,Aug-13,2013-08-01,monthly,127,99,28,bls/benchmark/ces-benchmark-revision-2014.pdf,"Table 7, PDF page 28"
2014,Sep-13,2013-09-01,monthly,-19,-30,11,bls/benchmark/ces-benchmark-revision-2014.pdf,"Table 7, PDF page 28"
2014,Oct-13,2013-10-01,monthly,164,159,5,bls/benchmark/ces-benchmark-revision-2014.pdf,"Table 7, PDF page 28"
2014,Nov-13,2013-11-01,monthly,22,-11,33,bls/benchmark/ces-benchmark-revision-2014.pdf,"Table 7, PDF page 28"
