publication_id,publication_kind,benchmark_year,qcew_year,qcew_quarter,release_order,publication_date,release_time_et,source_file,source_locator,source_url
benchmark_preliminary_2012,benchmark_preliminary,2012,,,,2012-10-05,10:00:00,bls/preliminary/empsit-2012.pdf,release date or header,https://www.bls.gov/news.release/archives/empsit_10052012.pdf
benchmark_preliminary_2013,benchmark_preliminary,2013,,,,2013-10-22,10:00:00,bls/preliminary/empsit-2013.pdf,release date or header,https://www.bls.gov/news.release/archives/empsit_10222013.pdf
benchmark_preliminary_2014,benchmark_preliminary,2014,,,,2014-10-03,10:00:00,bls/preliminary/empsit-2014.pdf,release date or header,https://www.bls.gov/news.release/archives/empsit_10032014.pdf
benchmark_preliminary_2015,benchmark_preliminary,2015,,,,2015-10-02,10:00:00,bls/preliminary/empsit-2015.pdf,release date or header,https://www.bls.gov/news.release/archives/empsit_10022015.pdf
benchmark_preliminary_2016,benchmark_preliminary,2016,,,,2016-10-07,10:00:00,bls/preliminary/empsit-2016.pdf,release date or header,https://www.bls.gov/news.release/archives/empsit_10072016.pdf
benchmark_preliminary_2017,benchmark_preliminary,2017,,,,2017-10-06,10:00:00,bls/preliminary/empsit-2017.pdf,release date or header,https://www.bls.gov/news.release/archives/empsit_10062017.pdf
benchmark_preliminary_2018,benchmark_preliminary,2018,,,,2018-10-05,10:00:00,bls/preliminary/empsit-2018.pdf,release date or header,https://www.bls.gov/news.release/archives/empsit_10052018.pdf
benchmark_preliminary_2019,benchmark_preliminary,2019,,,,2019-08-21,10:00:00,bls/preliminary/preliminary-2019.htm,release date or header,https://www.bls.gov/blog/2019/what-is-benchmarking-of-bureau-of-labor-statistics-employment-data.htm
benchmark_preliminary_2020,benchmark_preliminary,2020,,,,2020-08-19,10:00:00,bls/preliminary/preliminary-2020.htm,release date or header,https://www.bls.gov/ces/notices/2020/2020-ces-benchmark-revision.htm
benchmark_preliminary_2021,benchmark_preliminary,2021,,,,2021-08-18,10:00:00,bls/preliminary/preliminary-2021.htm,release date or header,https://www.bls.gov/ces/notices/2021/2021-ces-preliminary-benchmark-revision.htm
benchmark_preliminary_2022,benchmark_preliminary,2022,,,,2022-08-24,10:00:00,bls/preliminary/preliminary-2022.htm,release date or header,https://www.bls.gov/ces/notices/2022/2022-ces-preliminary-benchmark-revision.htm
benchmark_preliminary_2023,benchmark_preliminary,2023,,,,2023-08-23,10:00:00,bls/preliminary/preliminary-2023.htm,release date or header,https://www.bls.gov/ces/notices/2023/2023-preliminary-benchmark-revision.htm
benchmark_preliminary_2024,benchmark_preliminary,2024,,,,2024-08-21,10:00:00,bls/preliminary/preliminary-2024.htm,release date or header,https://www.bls.gov/ces/notices/2024/2024-preliminary-benchmark-revision.htm
benchmark_preliminary_2025,benchmark_preliminary,2025,,,,2025-09-09,10:00:00,bls/preliminary/prebmk-2025.htm,release date or header,https://www.bls.gov/news.release/archives/prebmk_09092025.htm
