source_id,role,benchmark_year,status,url,file,capture_timestamp,original_url,source_locator
coverage-2004,coverage,2004,available,https://web.archive.org/web/20050308035217id_/http://www.bls.gov:80/web/cestntab.htm,internet-archive/coverage/coverage-2004.htm,20050308035217,http://www.bls.gov:80/web/cestntab.htm,Table 1
coverage-2005,coverage,2005,available,https://web.archive.org/web/20060206202401id_/http://www.bls.gov:80/web/cestntab.htm,internet-archive/coverage/coverage-2005.htm,20060206202401,http://www.bls.gov:80/web/cestntab.htm,Table 1
coverage-2006,coverage,2006,available,https://web.archive.org/web/20070204091552id_/http://www.bls.gov:80/web/cestntab.htm,internet-archive/coverage/coverage-2006.htm,20070204091552,http://www.bls.gov:80/web/cestntab.htm,Table 1
coverage-2007,coverage,2007,available,https://web.archive.org/web/20080513033705id_/http://www.bls.gov:80/web/cestntab.htm,internet-archive/coverage/coverage-2007.htm,20080513033705,http://www.bls.gov:80/web/cestntab.htm,Table 1
coverage-2008,coverage,2008,available,https://web.archive.org/web/20090507015624id_/http://www.bls.gov:80/web/cestntab.htm,internet-archive/coverage/coverage-2008.htm,20090507015624,http://www.bls.gov:80/web/cestntab.htm,Table 1
coverage-2009,coverage,2009,available,https://web.archive.org/web/20100408180019id_/http://www.bls.gov/web/empsit/cestntab.htm,internet-archive/coverage/coverage-2009.htm,20100408180019,http://www.bls.gov/web/empsit/cestntab.htm,Table 1
coverage-2010,coverage,2010,available,https://web.archive.org/web/20110511141154id_/http://www.bls.gov/web/empsit/cestntab.htm,internet-archive/coverage/coverage-2010.htm,20110511141154,http://www.bls.gov/web/empsit/cestntab.htm,Table 1
coverage-2011,coverage,2011,available,https://web.archive.org/web/20120927115923id_/http://www.bls.gov/web/empsit/cestntab.htm,internet-archive/coverage/coverage-2011.htm,20120927115923,http://www.bls.gov/web/empsit/cestntab.htm,Table 1
coverage-2012,coverage,2012,missing,,,,,https://web.archive.org/cdx/search/cdx?url=bls.gov/web/empsit/cestn*.htm&from=2013&to=2014&filter=statuscode:200
coverage-2013,coverage,2013,available,https://web.archive.org/web/20140207140006id_/https://www.bls.gov/web/empsit/cestn.htm,internet-archive/coverage/coverage-2013.htm,20140207140006,https://www.bls.gov/web/empsit/cestn.htm,Table 1
coverage-2014,coverage,2014,available,https://web.archive.org/web/20150207104257id_/https://www.bls.gov/web/empsit/cestn.htm,internet-archive/coverage/coverage-2014.htm,20150207104257,https://www.bls.gov/web/empsit/cestn.htm,Table 1
coverage-2015,coverage,2015,available,https://web.archive.org/web/20160305082611id_/https://www.bls.gov/web/empsit/cestn.htm,internet-archive/coverage/coverage-2015.htm,20160305082611,https://www.bls.gov/web/empsit/cestn.htm,Table 1
coverage-2016,coverage,2016,available,https://web.archive.org/web/20170205194835id_/https://www.bls.gov/web/empsit/cestn.htm,internet-archive/coverage/coverage-2016.htm,20170205194835,https://www.bls.gov/web/empsit/cestn.htm,Table 1
coverage-2017,coverage,2017,available,https://web.archive.org/web/20181116034816id_/https://www.bls.gov/web/empsit/cestn.htm,internet-archive/coverage/coverage-2017.htm,20181116034816,https://www.bls.gov/web/empsit/cestn.htm,Table 1
coverage-2018,coverage,2018,available,https://web.archive.org/web/20190330102338id_/https://www.bls.gov/web/empsit/cestn.htm,internet-archive/coverage/coverage-2018.htm,20190330102338,https://www.bls.gov/web/empsit/cestn.htm,Table 1
coverage-2019,coverage,2019,available,https://web.archive.org/web/20200318085302id_/https://www.bls.gov/web/empsit/cestn.htm,internet-archive/coverage/coverage-2019.htm,20200318085302,https://www.bls.gov/web/empsit/cestn.htm,Table 1
coverage-2020,coverage,2020,available,https://web.archive.org/web/20210310075038id_/https://www.bls.gov/web/empsit/cestn.htm,internet-archive/coverage/coverage-2020.htm,20210310075038,https://www.bls.gov/web/empsit/cestn.htm,Table 1
coverage-2021,coverage,2021,available,https://web.archive.org/web/20220209230654id_/https://www.bls.gov/web/empsit/cestn.htm,internet-archive/coverage/coverage-2021.htm,20220209230654,https://www.bls.gov/web/empsit/cestn.htm,Table 1
coverage-2022,coverage,2022,available,https://web.archive.org/web/20230205035743id_/https://www.bls.gov/web/empsit/cestn.htm,internet-archive/coverage/coverage-2022.htm,20230205035743,https://www.bls.gov/web/empsit/cestn.htm,Table 1
coverage-2023,coverage,2023,available,https://web.archive.org/web/20240302202835id_/https://www.bls.gov/web/empsit/cestn.htm,internet-archive/coverage/coverage-2023.htm,20240302202835,https://www.bls.gov/web/empsit/cestn.htm,Table 1
coverage-2024,coverage,2024,available,https://web.archive.org/web/20250213010818id_/https://www.bls.gov/web/empsit/cestn.htm,internet-archive/coverage/coverage-2024.htm,20250213010818,https://www.bls.gov/web/empsit/cestn.htm,Table 1
coverage-2025,coverage,2025,available,https://www.bls.gov/web/empsit/cestn.htm,internet-archive/coverage/coverage-2025.htm,,,Table 1
rse-level-2002,rse_level,2002,available,https://web.archive.org/web/20030620192417id_/http://www.bls.gov:80/web/cestntab.htm,internet-archive/rse-level/rse-level-2002.htm,20030620192417,http://www.bls.gov:80/web/cestntab.htm,Table 2-E
rse-level-2003,rse_level,2003,available,https://web.archive.org/web/20041010205205id_/http://www.bls.gov:80/web/cestntab.htm,internet-archive/rse-level/rse-level-2003.htm,20041010205205,http://www.bls.gov:80/web/cestntab.htm,Table 2-E
rse-level-2004,rse_level,2004,available,https://web.archive.org/web/20050308035217id_/http://www.bls.gov:80/web/cestntab.htm,internet-archive/rse-level/rse-level-2004.htm,20050308035217,http://www.bls.gov:80/web/cestntab.htm,Table 2-E
rse-level-2005,rse_level,2005,available,https://web.archive.org/web/20060206202401id_/http://www.bls.gov:80/web/cestntab.htm,internet-archive/rse-level/rse-level-2005.htm,20060206202401,http://www.bls.gov:80/web/cestntab.htm,Table 2-E
rse-level-2006,rse_level,2006,available,https://web.archive.org/web/20070204091552id_/http://www.bls.gov:80/web/cestntab.htm,internet-archive/rse-level/rse-level-2006.htm,20070204091552,http://www.bls.gov:80/web/cestntab.htm,Table 2-E
rse-level-2007,rse_level,2007,available,https://web.archive.org/web/20080513033705id_/http://www.bls.gov:80/web/cestntab.htm,internet-archive/rse-level/rse-level-2007.htm,20080513033705,http://www.bls.gov:80/web/cestntab.htm,Table 2-E
rse-level-2008,rse_level,2008,available,https://web.archive.org/web/20090507015624id_/http://www.bls.gov:80/web/cestntab.htm,internet-archive/rse-level/rse-level-2008.htm,20090507015624,http://www.bls.gov:80/web/cestntab.htm,Table 2-E
rse-level-2009,rse_level,2009,available,https://web.archive.org/web/20100408180019id_/http://www.bls.gov/web/empsit/cestntab.htm,internet-archive/rse-level/rse-level-2009.htm,20100408180019,http://www.bls.gov/web/empsit/cestntab.htm,Table 2-E
rse-change-2016,rse_change,2016,available,https://web.archive.org/web/20170205194835id_/https://www.bls.gov/web/empsit/cestn.htm,internet-archive/rse-change/rse-change-2016.htm,20170205194835,https://www.bls.gov/web/empsit/cestn.htm,Table 4
